accepted,affected_files,artifact_paths,artifact_status,backend,backend_failure,backend_name,benchmark_category,benchmark_task_id,checked_artifacts,checked_files,completed_at,context_budget_status,context_budget_tokens,context_estimated_tokens,context_excluded_items,context_helpful_items,context_optional_items,context_pack_path,context_required_items,context_strategy,correction_summary,created_at,credit_allowance_exhausted,credit_allowance_remaining,credit_allowance_total,credit_allowance_used,description,duration_seconds,early_stop_reason,early_stopped,elapsed_seconds,embodied_gco2e_allocated,emissions_gco2e_estimate,energy_kwh_estimate,estimated_input_tokens,estimated_output_tokens,expected_status,experiment_id,failure_stage,failure_type,fallback_depth,firewall_reason,firewall_triggered,grid_intensity_gco2e_per_kwh,grid_intensity_source,handoff_reason,hardware_profile,human_review_minutes,human_review_required,input_tokens,model,observed_status,output_tokens,permission_profile,prompt_strategy,remaining_risk,retry_count,review_decision,review_workload,reviewer_notes,risk_level,role_taxonomy_version,route_reason,route_source,run_id,runner,schema_version,selected_backend,selected_route,status,storage_written_mb,study_id,supervisor_artifact_path,supervisor_decision,supervisor_input_tokens_est,supervisor_model,supervisor_notes,supervisor_output_tokens_est,supervisor_profile,supervisor_token_source,supervisor_tool,target_files,task_id,task_outcome,timeout_seconds,title,tokens_per_second,total_tokens,updated_at,validation_status,validator_name,validator_passed,validator_scope,validator_version,wasted_tokens,water_liters_estimate,worker_result_status
False,[],['.triagecore\\context_packs\\context_pack_7cea373e.json'],generated,,,,,,[],[],2026-06-07T05:05:35.492752+00:00,within_budget,4000,10,0,0,0,.triagecore\context_packs\context_pack_7cea373e.json,1,context_budget_planner_v1,,2026-06-07T05:05:30.699824+00:00,False,0,0,0,how much wood could a woodchuck chuck,2.8137001991271973,,False,0.0,0.011723750829696655,0.009763561032193748,2.3487826707263793e-05,0,0,,,,,,,False,400.0,static_config,,,0.0,False,0,qwen2.5-coder-7b-instruct,,0,workspace-write,,,0,,,,low,2026-06-worker-council-v2,,,,local_llm,0.2.0,,,local_draft_generated,0.0,,,,0,,,0,,,,[],7cea373e-1d68-4daf-acb0-2e41f6a122b2,unresolved,,how much wood could a woodchuck chuck,0.0,0,2026-06-07T05:05:51.435738+00:00,,,,,,0,3.6613353870726555e-05,
False,[],['.triagecore\\context_packs\\context_pack_60201e63.json'],generated,,,,,,[],[],2026-06-07T04:56:04.810411+00:00,within_budget,8000,203,0,0,0,.triagecore\context_packs\context_pack_60201e63.json,1,context_budget_planner_v1,,2026-06-07T04:55:58.204511+00:00,False,41596,50000,8404,"You are helping improve TriageDesk itself.

Goal:
Design the next highest-ROI improvement: Artifact Workflow Controls v1.

Current context:
- LM Studio is the control plane/local draft lane.
- Ollama is the Worker Council lane.
- The UI now shows Control Plane, Worker Pool, and Route Trace.
- The Generated Artifact pane is now readable.
- Next improvement should help users act on generated output.

Propose a minimal implementation plan for:
1. Copy Output button
2. Save Artifact button

Constraints:
- Do not change backend routing.
- Do not change Worker Council behavior.
- Do not add auto-execution.
- Save artifacts under .triagecore/artifacts/.
- Include rollback and manual verification steps.

Output:
- Summary
- Files affected
- Implementation plan
- Acceptance criteria
- Risks
- Manual test plan",4.095117568969727,,False,0.0,0.017062989870707194,0.023204596365715233,5.7515527239806116e-05,0,0,,,,,,,False,400.0,static_config,Local workers succeeded.,,0.0,True,0,,,0,read-only,,,0,,,,low,2026-06-worker-council-v2,,,,worker_council,0.2.0,,,council_completed,0.0,,,,0,,,0,,,,[],60201e63-e9a6-48c0-8b22-661b8ac055b9,unresolved,,You are helping improve TriageDesk itsel…,0.0,0,2026-06-07T04:56:04.811069+00:00,,,,,,0,8.701723637143212e-05,
False,[],['.triagecore\\context_packs\\context_pack_ccfc21b5.json'],generated,,,,,,[],[],2026-06-07T04:54:41.380810+00:00,within_budget,4000,203,0,0,0,.triagecore\context_packs\context_pack_ccfc21b5.json,1,context_budget_planner_v1,,2026-06-07T04:54:26.827443+00:00,False,0,0,0,"You are helping improve TriageDesk itself.

Goal:
Design the next highest-ROI improvement: Artifact Workflow Controls v1.

Current context:
- LM Studio is the control plane/local draft lane.
- Ollama is the Worker Council lane.
- The UI now shows Control Plane, Worker Pool, and Route Trace.
- The Generated Artifact pane is now readable.
- Next improvement should help users act on generated output.

Propose a minimal implementation plan for:
1. Copy Output button
2. Save Artifact button

Constraints:
- Do not change backend routing.
- Do not change Worker Council behavior.
- Do not add auto-execution.
- Save artifacts under .triagecore/artifacts/.
- Include rollback and manual verification steps.

Output:
- Summary
- Files affected
- Implementation plan
- Acceptance criteria
- Risks
- Manual test plan",12.620204448699951,,False,0.0,0.05258418520291647,0.1264426374495038,0.00031387978869941506,0,0,,,,,,,False,400.0,static_config,,,0.0,False,0,qwen2.5-coder-7b-instruct,,0,read-only,,,0,,,,low,2026-06-worker-council-v2,,,,local_llm,0.2.0,,,local_draft_generated,0.0,,,,0,,,0,,,,[],ccfc21b5-dc3d-4877-88fe-7d06801cbcaa,unresolved,,You are helping improve TriageDesk itsel…,0.0,0,2026-06-07T04:54:41.381779+00:00,,,,,,0,0.0004741598904356392,
False,[],['.triagecore\\context_packs\\context_pack_724b0143.json'],generated,,,,,,[],[],2026-06-07T04:29:05.179414+00:00,within_budget,8000,148,0,0,0,.triagecore\context_packs\context_pack_724b0143.json,1,context_budget_planner_v1,,2026-06-07T04:29:00.558185+00:00,False,41596,50000,8404,"Write a Python script that reads a CSV file of water quality samples and converts it to JSON.

Requirements:
- Use only the Python standard library.
- Input CSV columns: sample_id, site_name, latitude, longitude, ph, turbidity_ntu, temperature_c, collected_at.
- Validate that pH is between 0 and 14.
- Validate latitude and longitude are numeric.
- Skip invalid rows and write them to an errors JSON file.
- Output valid rows to water_quality_samples.json.
- Include a --dry-run option that prints what would happen without writing files.
- Include clear comments and a short usage example.",2.622696876525879,,False,0.0,0.010927903652191161,0.008854272380546487,2.1002865053812663e-05,0,0,,,,,,,False,400.0,static_config,Local workers succeeded.,,0.0,True,0,,,0,workspace-write,,,0,,,,low,2026-06-worker-council-v2,,,,worker_council,0.2.0,,,council_completed,0.0,,,,0,,,0,,,,[],724b0143-2e51-4398-8a0e-9748a9a22fcf,unresolved,,Write a Python script that reads a CSV f…,0.0,0,2026-06-07T04:29:05.179745+00:00,,,,,,0,3.3203521427049325e-05,
False,[],['.triagecore\\context_packs\\context_pack_d59fd846.json'],generated,,,,,,[],[],2026-06-07T04:27:32.551346+00:00,within_budget,4000,148,0,0,0,.triagecore\context_packs\context_pack_d59fd846.json,1,context_budget_planner_v1,,2026-06-07T04:27:16.906749+00:00,False,0,0,0,"Write a Python script that reads a CSV file of water quality samples and converts it to JSON.

Requirements:
- Use only the Python standard library.
- Input CSV columns: sample_id, site_name, latitude, longitude, ph, turbidity_ntu, temperature_c, collected_at.
- Validate that pH is between 0 and 14.
- Validate latitude and longitude are numeric.
- Skip invalid rows and write them to an errors JSON file.
- Output valid rows to water_quality_samples.json.
- Include a --dry-run option that prints what would happen without writing files.
- Include clear comments and a short usage example.",13.531224489212036,,False,0.0,0.056380102038383485,0.14231612489002235,0.00035316458617299805,0,0,,,,,,,False,400.0,static_config,,,0.0,False,0,qwen2.5-coder-7b-instruct,,0,workspace-write,,,0,,,,low,2026-06-worker-council-v2,,,,local_llm,0.2.0,,,local_draft_generated,0.0,,,,0,,,0,,,,[],d59fd846-dc0c-4d2b-9cfb-7666f43acdc4,unresolved,,Write a Python script that reads a CSV f…,0.0,0,2026-06-07T04:27:32.551956+00:00,,,,,,0,0.0005336854683375839,
False,[],['.triagecore\\context_packs\\context_pack_2870900b.json'],generated,,,,,,[],[],2026-06-07T04:08:21.754866+00:00,within_budget,8000,13,0,0,0,.triagecore\context_packs\context_pack_2870900b.json,1,context_budget_planner_v1,,2026-06-07T04:08:17.070583+00:00,False,41596,50000,8404,write a script to organize a windows main desktop,2.61422061920166,,False,0.0,0.01089258591334025,0.009036997021956865,2.1639882805380553e-05,0,0,,,,,,,False,400.0,static_config,Local workers succeeded.,,0.0,True,0,,,0,workspace-write,,,0,,,,low,2026-06-worker-council-v2,,,,worker_council,0.2.0,,,council_completed,0.0,,,,0,,,0,,,,[],2870900b-0461-4332-8be7-ac3f2d281f29,unresolved,,write a script to organize a windows mai…,0.0,0,2026-06-07T04:08:21.755170+00:00,,,,,,0,3.3888738832338244e-05,
False,[],['.triagecore\\context_packs\\context_pack_bd3bbc1c.json'],generated,,,,,,[],[],2026-06-07T04:06:31.845970+00:00,within_budget,4000,13,0,0,0,.triagecore\context_packs\context_pack_bd3bbc1c.json,1,context_budget_planner_v1,,2026-06-07T04:06:24.652985+00:00,False,0,0,0,write a script to organize a windows main desktop,5.277711629867554,,False,0.0,0.02199046512444814,0.03685116774645813,8.935701418485905e-05,0,0,,,,,,,False,400.0,static_config,,,0.0,False,0,qwen2.5-coder-7b-instruct,,0,workspace-write,,,0,,,,low,2026-06-worker-council-v2,,,,local_llm,0.2.0,,,local_draft_generated,0.0,,,,0,,,0,,,,[],bd3bbc1c-4ec9-48f6-b15d-395d9a3fd547,unresolved,,write a script to organize a windows mai…,0.0,0,2026-06-07T04:06:31.846487+00:00,,,,,,0,0.00013819187904921798,
False,[],['.triagecore\\context_packs\\context_pack_993fcdbc.json'],generated,,,,,,[],[],2026-06-07T03:52:31.542928+00:00,within_budget,8000,13,0,0,0,.triagecore\context_packs\context_pack_993fcdbc.json,1,context_budget_planner_v1,,2026-06-07T03:52:26.373895+00:00,False,41596,50000,8404,write a script to organize a windows main desktop,3.1294333934783936,,False,0.0,0.013039305806159973,0.010173312477440617,2.5414328975975514e-05,0,0,,,,,,,False,400.0,static_config,Local workers succeeded.,,0.0,True,0,,,0,workspace-write,,,0,,,,low,2026-06-worker-council-v2,,,,worker_council,0.2.0,,,council_completed,0.0,,,,0,,,0,,,,[],993fcdbc-5c0c-4210-bdb0-46d2ae6ae966,unresolved,,write a script to organize a windows mai…,0.0,0,2026-06-07T03:52:31.543540+00:00,,,,,,0,3.814992179040231e-05,
False,[],['.triagecore\\context_packs\\context_pack_6e1b001e.json'],generated,,,,,,[],[],2026-06-07T03:52:22.325498+00:00,within_budget,4000,13,0,0,0,.triagecore\context_packs\context_pack_6e1b001e.json,1,context_budget_planner_v1,,2026-06-07T03:52:14.308919+00:00,False,0,0,0,write a script to organize a windows main desktop,6.0961081981658936,,False,0.0,0.025400450825691222,0.046467022208534235,0.00011285520154128472,0,0,,,,,,,False,400.0,static_config,,,0.0,False,0,qwen2.5-coder-7b-instruct,,0,workspace-write,,,0,,,,low,2026-06-worker-council-v2,,,,local_llm,0.2.0,,,local_draft_generated,0.0,,,,0,,,0,,,,[],6e1b001e-9fcf-4d8b-8f93-22526906f370,unresolved,,write a script to organize a windows mai…,0.0,0,2026-06-07T03:52:22.325973+00:00,,,,,,0,0.0001742513332820034,
False,[],['.triagecore\\context_packs\\context_pack_52da8e42.json'],,,,,,,[],[],,within_budget,4000,8,0,0,0,.triagecore\context_packs\context_pack_52da8e42.json,1,context_budget_planner_v1,,2026-06-07T03:20:02.455990+00:00,False,0,0,0,write a sonnet about spaghetti,0.0,,False,0.0,0.0,0.0,0.0,0,0,,,,,,,False,0.0,static_config,,,0.0,False,0,,,0,workspace-write,,,0,,,,low,2026-06-worker-council-v2,,,,local_llm,0.2.0,,,pending,0.0,,,,0,,,0,,,,[],52da8e42-ee73-47a8-a934-a821caf41bdb,,,write a sonnet about spaghetti,0.0,0,2026-06-07T03:20:05.536133+00:00,,,,,,0,0.0,
